2025-01-20 16:53:22 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-20 16:53:23 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - Starting BookingServiceApplication using Java 17.0.9 with PID 5586 (/Users/niwas/IdeaProjects/TekarchBookingService/build/classes/java/main started by niwas in /Users/niwas/IdeaProjects/TekarchBookingService)
2025-01-20 16:53:23 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-20 16:53:23 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-20 16:53:23 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-01-20 16:53:29 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5002 (http)
2025-01-20 16:53:29 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5002"]
2025-01-20 16:53:29 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-01-20 16:53:29 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-20 16:53:29 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-20 16:53:29 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5364 ms
2025-01-20 16:53:29 [restartedMain] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.apache.logging.log4j.Logger com.Tekarch.BookingService.Service.BookingService.logger
2025-01-20 16:53:30 [restartedMain] WARN  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2025-01-20 16:53:30 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5002"]
2025-01-20 16:53:30 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5002 (http) with context path '/'
2025-01-20 16:53:30 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - Started BookingServiceApplication in 10.695 seconds (process running for 12.708)
2025-01-20 17:01:21 [http-nio-5002-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-20 17:01:21 [http-nio-5002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-20 17:01:21 [http-nio-5002-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2025-01-20 19:13:50 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-01-20 19:13:50 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-01-21 11:00:14 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-21 11:00:14 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - Starting BookingServiceApplication using Java 17.0.9 with PID 5038 (/Users/niwas/IdeaProjects/TekarchBookingService/build/classes/java/main started by niwas in /Users/niwas/IdeaProjects/TekarchBookingService)
2025-01-21 11:00:14 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-21 11:00:14 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-21 11:00:14 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-01-21 11:00:17 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5002 (http)
2025-01-21 11:00:18 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5002"]
2025-01-21 11:00:18 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-01-21 11:00:18 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-21 11:00:18 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-21 11:00:18 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3819 ms
2025-01-21 11:00:18 [restartedMain] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.apache.logging.log4j.Logger com.Tekarch.BookingService.Service.BookingService.logger
2025-01-21 11:00:20 [restartedMain] WARN  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2025-01-21 11:00:20 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5002"]
2025-01-21 11:00:20 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5002 (http) with context path '/'
2025-01-21 11:00:20 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - Started BookingServiceApplication in 7.136 seconds (process running for 8.688)
2025-01-21 11:18:44 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-01-21 11:18:44 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-01-21 11:48:00 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-21 11:48:01 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - Starting BookingServiceApplication using Java 17.0.9 with PID 6311 (/Users/niwas/IdeaProjects/TekarchBookingService/build/classes/java/main started by niwas in /Users/niwas/IdeaProjects/TekarchBookingService)
2025-01-21 11:48:01 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-21 11:48:01 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-21 11:48:01 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-01-21 11:48:05 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5002 (http)
2025-01-21 11:48:05 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5002"]
2025-01-21 11:48:05 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-01-21 11:48:05 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-21 11:48:05 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-21 11:48:05 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3871 ms
2025-01-21 11:48:05 [restartedMain] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.apache.logging.log4j.Logger com.Tekarch.BookingService.Service.BookingService.logger
2025-01-21 11:48:07 [restartedMain] WARN  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2025-01-21 11:48:07 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5002"]
2025-01-21 11:48:07 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5002 (http) with context path '/'
2025-01-21 11:48:07 [restartedMain] INFO  com.Tekarch.BookingService.BookingServiceApplication - Started BookingServiceApplication in 7.639 seconds (process running for 9.825)
2025-01-21 12:05:49 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-01-21 12:05:49 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
